Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Channel
12669,9656,7561,214,2674,1338,Cafe
7057,9810,9568,1762,3293,1776,Hotel
6353,8808,7684,2405,3516,7844,Hotel
13265,1196,4221,6404,507,1788,Cafe
22615,5410,7198,3915,1777,5185,Hotel
9413,8259,5126,666,1795,1451,Cafe
12126,3199,6975,480,3140,545,Restaurant
7579,4956,9426,1669,3321,2566,Hotel
5963,3648,6192,425,1716,750,Restaurant
6006,11093,18881,1159,7425,2098,Restaurant
3366,5403,12974,4400,5977,1744,Cafe
13146,1124,4523,1420,549,497,Restaurant
31714,12319,11757,287,3881,2931,Cafe
21217,6208,14982,3095,6707,602,Restaurant
24653,9465,12091,294,5058,2168,Restaurant
10253,1114,3821,397,964,412,Hotel
1020,8816,12121,134,4508,1080,Cafe
5876,6157,2933,839,370,4478,Hotel
18601,6327,10099,2205,2767,3181,Restaurant
7780,2495,9464,669,2518,501,Cafe
17546,4519,4602,1066,2259,2124,Hotel
5567,871,2010,3383,375,569,Restaurant
31276,1917,4469,9408,2381,4334,Restaurant
26373,36423,22019,5154,4337,16523,Hotel
22647,9776,13792,2915,4482,5778,Cafe
16165,4230,7595,201,4003,57,Cafe
9898,961,2861,3151,242,833,Cafe
14276,803,3045,485,100,518,Cafe
4113,20484,25957,1158,8604,5206,Cafe
43088,2100,2609,1200,1107,823,Restaurant
18815,3610,11107,1148,2134,2963,Hotel
2612,4339,3133,2088,820,985,Hotel
21632,1318,2886,266,918,405,Cafe
29729,4786,7326,6130,361,1083,Cafe
1502,1979,2262,425,483,395,Restaurant
688,5491,11091,833,4239,436,Cafe
29955,4362,5428,1729,862,4626,Cafe
15168,10556,12477,1920,6506,714,Hotel
4591,15729,16709,33,6956,433,Restaurant
56159,555,902,10002,212,2916,Cafe
24025,4332,4757,9510,1145,5864,Cafe
19176,3065,5956,2033,2575,2802,Hotel
10850,7555,14961,188,6899,46,Hotel
630,11095,23998,787,9529,72,Hotel
9670,7027,10471,541,4618,65,Restaurant
5181,22044,21531,1740,7353,4985,Cafe
3103,14069,21955,1668,6792,1452,Cafe
44466,54259,55571,7782,24171,6465,Hotel
11519,6152,10868,584,5121,1476,Cafe
4967,21412,28921,1798,13583,1163,Hotel
6269,1095,1980,3860,609,2162,Cafe
3347,4051,6996,239,1538,301,Cafe
40721,3916,5876,532,2587,1278,Hotel
491,10473,11532,744,5611,224,Hotel
27329,1449,1947,2436,204,1333,Restaurant
5264,3683,5005,1057,2024,1130,Restaurant
4098,29892,26866,2616,17740,1340,Cafe
5417,9933,10487,38,7572,1282,Restaurant
13779,1970,1648,596,227,436,Hotel
6137,5360,8040,129,3084,1603,Hotel
8590,3045,7854,96,4095,225,Hotel
35942,38369,59598,3254,26701,2017,Cafe
7823,6245,6544,4154,4074,964,Restaurant
9396,11601,15775,2896,7677,1295,Hotel
4760,1227,3250,3724,1247,1145,Hotel
85,20959,45828,36,24231,1423,Hotel
9,1534,7417,175,3468,27,Hotel
19913,6759,13462,1256,5141,834,Cafe
2446,7260,3993,5870,788,3095,Restaurant
8352,2820,1293,779,656,144,Cafe
16705,2037,3202,10643,116,1365,Cafe
18291,1266,21042,5373,4173,14472,Hotel
4420,5139,2661,8872,1321,181,Restaurant
19899,5332,8713,8132,764,648,Restaurant
8190,6343,9794,1285,1901,1780,Cafe
20398,1137,3,4407,3,975,Restaurant
717,3587,6532,7530,529,894,Restaurant
12205,12697,28540,869,12034,1009,Restaurant
10766,1175,2067,2096,301,167,Hotel
1640,3259,3655,868,1202,1653,Restaurant
7005,829,3009,430,610,529,Hotel
219,9540,14403,283,7818,156,Restaurant
10362,9232,11009,737,3537,2342,Restaurant
20874,1563,1783,2320,550,772,Hotel
11867,3327,4814,1178,3837,120,Hotel
16117,46197,92780,1026,40827,2944,Cafe
22925,73498,32114,987,20070,903,Cafe
43265,5025,8117,6312,1579,14351,Cafe
7864,542,4042,9735,165,46,Hotel
24904,3836,5330,3443,454,3178,Restaurant
11405,596,1638,3347,69,360,Cafe
12754,2762,2530,8693,627,1117,Hotel
9198,27472,32034,3232,18906,5130,Cafe
11314,3090,2062,35009,71,2698,Restaurant
5626,12220,11323,206,5038,244,Cafe
3,2920,6252,440,223,709,Cafe
23,2616,8118,145,3874,217,Hotel
403,254,610,774,54,63,Cafe
503,112,778,895,56,132,Restaurant
9658,2182,1909,5639,215,323,Hotel
11594,7779,12144,3252,8035,3029,Hotel
1420,10810,16267,1593,6766,1838,Cafe
2932,6459,7677,2561,4573,1386,Hotel
56082,3504,8906,18028,1480,2498,Hotel
14100,2132,3445,1336,1491,548,Hotel
15587,1014,3970,910,139,1378,Restaurant
1454,6337,10704,133,6830,1831,Cafe
8797,10646,14886,2471,8969,1438,Hotel
1531,8397,6981,247,2505,1236,Restaurant
1406,16729,28986,673,836,3,Restaurant
11818,1648,1694,2276,169,1647,Hotel
12579,11114,17569,805,6457,1519,Hotel
19046,2770,2469,8853,483,2708,Hotel
14438,2295,1733,3220,585,1561,Restaurant
18044,1080,2000,2555,118,1266,Hotel
11134,793,2988,2715,276,610,Hotel
11173,2521,3355,1517,310,222,Hotel
6990,3880,5380,1647,319,1160,Cafe
20049,1891,2362,5343,411,933,Hotel
8258,2344,2147,3896,266,635,Hotel
17160,1200,3412,2417,174,1136,Hotel
4020,3234,1498,2395,264,255,Hotel
12212,201,245,1991,25,860,Hotel
11170,10769,8814,2194,1976,143,Cafe
36050,1642,2961,4787,500,1621,Hotel
76237,3473,7102,16538,778,918,Hotel
19219,1840,1658,8195,349,483,Restaurant
21465,7243,10685,880,2386,2749,Cafe
140,8847,3823,142,1062,3,Hotel
42312,926,1510,1718,410,1819,Hotel
5414,717,2155,2399,69,750,Restaurant
260,8675,13430,1116,7015,323,Cafe
200,25862,19816,651,8773,6250,Restaurant
955,5479,6536,333,2840,707,Cafe
514,7677,19805,937,9836,716,Restaurant
286,1208,5241,2515,153,1442,Restaurant
2343,7845,11874,52,4196,1697,Hotel
45640,6958,6536,7368,1532,230,Restaurant
12759,7330,4533,1752,20,2631,Hotel
11002,7075,4945,1152,120,395,Cafe
3157,4888,2500,4477,273,2165,Hotel
12356,6036,8887,402,1382,2794,Cafe
112151,29627,18148,16745,4948,8550,Cafe
694,8533,10518,443,6907,156,Restaurant
36847,43950,20170,36534,239,47943,Hotel
327,918,4710,74,334,11,Restaurant
8170,6448,1139,2181,58,247,Cafe
3009,521,854,3470,949,727,Restaurant
2438,8002,9819,6269,3459,3,Hotel
8040,7639,11687,2758,6839,404,Cafe
834,11577,11522,275,4027,1856,Cafe
16936,6250,1981,7332,118,64,Cafe
13624,295,1381,890,43,84,Hotel
5509,1461,2251,547,187,409,Cafe
180,3485,20292,959,5618,666,Hotel
7107,1012,2974,806,355,1142,Cafe
17023,5139,5230,7888,330,1755,Hotel
30624,7209,4897,18711,763,2876,Hotel
2427,7097,10391,1127,4314,1468,Cafe
11686,2154,6824,3527,592,697,Cafe
9670,2280,2112,520,402,347,Cafe
3067,13240,23127,3941,9959,731,Restaurant
4484,14399,24708,3549,14235,1681,Hotel
25203,11487,9490,5065,284,6854,Hotel
583,685,2216,469,954,18,Restaurant
1956,891,5226,1383,5,1328,Hotel
1107,11711,23596,955,9265,710,Cafe
6373,780,950,878,288,285,Cafe
2541,4737,6089,2946,5316,120,Hotel
1537,3748,5838,1859,3381,806,Restaurant
5550,12729,16767,864,12420,797,Cafe
18567,1895,1393,1801,244,2100,Cafe
12119,28326,39694,4736,19410,2870,Hotel
7291,1012,2062,1291,240,1775,Cafe
3317,6602,6861,1329,3961,1215,Restaurant
2362,6551,11364,913,5957,791,Cafe
2806,10765,15538,1374,5828,2388,Cafe
2532,16599,36486,179,13308,674,Hotel
18044,1475,2046,2532,130,1158,Cafe
18,7504,15205,1285,4797,6372,Hotel
4155,367,1390,2306,86,130,Cafe
14755,899,1382,1765,56,749,Hotel
5396,7503,10646,91,4167,239,Hotel
5041,1115,2856,7496,256,375,Restaurant
2790,2527,5265,5612,788,1360,Hotel
7274,659,1499,784,70,659,Hotel
12680,3243,4157,660,761,786,Hotel
20782,5921,9212,1759,2568,1553,Restaurant
4042,2204,1563,2286,263,689,Cafe
1869,577,572,950,4762,203,Hotel
8656,2746,2501,6845,694,980,Hotel
11072,5989,5615,8321,955,2137,Cafe
2344,10678,3828,1439,1566,490,Restaurant
25962,1780,3838,638,284,834,Hotel
964,4984,3316,937,409,7,Cafe
15603,2703,3833,4260,325,2563,Cafe
1838,6380,2824,1218,1216,295,Cafe
8635,820,3047,2312,415,225,Cafe
18692,3838,593,4634,28,1215,Hotel
7363,475,585,1112,72,216,Restaurant
47493,2567,3779,5243,828,2253,Cafe
22096,3575,7041,11422,343,2564,Cafe
24929,1801,2475,2216,412,1047,Restaurant
18226,659,2914,3752,586,578,Restaurant
11210,3576,5119,561,1682,2398,Cafe
6202,7775,10817,1183,3143,1970,Hotel
3062,6154,13916,230,8933,2784,Hotel
8885,2428,1777,1777,430,610,Hotel
13569,346,489,2077,44,659,Restaurant
15671,5279,2406,559,562,572,Hotel
8040,3795,2070,6340,918,291,Restaurant
3191,1993,1799,1730,234,710,Cafe
6134,23133,33586,6746,18594,5121,Cafe
6623,1860,4740,7683,205,1693,Cafe
29526,7961,16966,432,363,1391,Cafe
10379,17972,4748,4686,1547,3265,Cafe
31614,489,1495,3242,111,615,Hotel
11092,5008,5249,453,392,373,Hotel
8475,1931,1883,5004,3593,987,Cafe
56083,4563,2124,6422,730,3321,Hotel
53205,4959,7336,3012,967,818,Hotel
9193,4885,2157,327,780,548,Restaurant
7858,1110,1094,6818,49,287,Cafe
23257,1372,1677,982,429,655,Cafe
2153,1115,6684,4324,2894,411,Hotel
1073,9679,15445,61,5980,1265,Hotel
5909,23527,13699,10155,830,3636,Restaurant
572,9763,22182,2221,4882,2563,Restaurant
20893,1222,2576,3975,737,3628,Restaurant
11908,8053,19847,1069,6374,698,Hotel
15218,258,1138,2516,333,204,Restaurant
4720,1032,975,5500,197,56,Hotel
2083,5007,1563,1120,147,1550,Hotel
514,8323,6869,529,93,1040,Hotel
36817,3045,1493,4802,210,1824,Hotel
894,1703,1841,744,759,1153,Hotel
680,1610,223,862,96,379,Hotel
27901,3749,6964,4479,603,2503,Hotel
9061,829,683,16919,621,139,Hotel
11693,2317,2543,5845,274,1409,Cafe
17360,6200,9694,1293,3620,1721,Hotel
3366,2884,2431,977,167,1104,Restaurant
12238,7108,6235,1093,2328,2079,Restaurant
49063,3965,4252,5970,1041,1404,Cafe
25767,3613,2013,10303,314,1384,Restaurant
68951,4411,12609,8692,751,2406,Hotel
40254,640,3600,1042,436,18,Cafe
7149,2247,1242,1619,1226,128,Cafe
15354,2102,2828,8366,386,1027,Hotel
16260,594,1296,848,445,258,Hotel
42786,286,471,1388,32,22,Cafe
2708,2160,2642,502,965,1522,Restaurant
6022,3354,3261,2507,212,686,Hotel
2838,3086,4329,3838,825,1060,Hotel
3996,11103,12469,902,5952,741,Hotel
21273,2013,6550,909,811,1854,Hotel
7588,1897,5234,417,2208,254,Restaurant
19087,1304,3643,3045,710,898,Restaurant
